iter	RMSE
0	14.13220254
1	13.38546975
2	12.55891765
3	11.83116514
4	11.24202894
5	10.77946381
6	10.36677742
7	9.918448492
8	9.44623054
9	9.061040924
10	8.688847506
11	8.382700409
12	8.123452282
13	7.847975022
14	7.664682886
15	7.452109678
16	7.27963603
17	7.116670169
18	6.965563142
19	6.834072991
20	6.698561035
21	6.572640015
22	6.467132655
23	6.376036282
24	6.288530323
25	6.225047381
26	6.182921756
27	6.120039008
28	6.058448241
29	6.013932686
30	5.972415656
31	5.935787141
32	5.887388176
33	5.852989587
34	5.822587011
35	5.776894455
36	5.741049278
37	5.731918166
38	5.701672475
39	5.667231521
40	5.653887709
41	5.623650632
42	5.601274554
43	5.582686274
44	5.558349875
45	5.548914902
46	5.533879701
47	5.523167268
48	5.501830677
49	5.489917527
50	5.475941401
51	5.463424741
52	5.44885313
53	5.438432315
54	5.432083241
55	5.420196194
56	5.410624001
57	5.401879058
58	5.393989935
59	5.386543367
60	5.379756286
61	5.367653053
62	5.357242988
63	5.344863788
64	5.340608857
65	5.334293865
66	5.327899276
67	5.321958734
68	5.317409547
69	5.314624055
70	5.30662598
71	5.297985649
72	5.285472114
73	5.281006253
74	5.276867995
75	5.272587735
76	5.261248528
77	5.256239418
78	5.247242359
79	5.242317423
80	5.236981474
81	5.224836413
82	5.211149708
83	5.206781869
84	5.204199183
85	5.195326457
86	5.187764741
87	5.183826654
88	5.183326538
89	5.175242649
90	5.170526535
91	5.166649771
92	5.15991545
93	5.157025248
94	5.152288775
95	5.141708607
96	5.137337116
97	5.12781288
98	5.123161551
99	5.120346951
100	5.113576981
101	5.11313947
102	5.109201953
103	5.10888146
104	5.103930214
105	5.099851088
106	5.096984221
107	5.0967298
108	5.096091714
109	5.087174676
110	5.075042955
111	5.074808689
112	5.066751779
113	5.062852821
114	5.055011527
115	5.054189015
116	5.052083517
117	5.050099502
118	5.0498992
119	5.045071275
120	5.04117846
121	5.034937749
122	5.029135139
123	5.018731624
124	5.017508766
125	5.008190015
126	5.005850432
127	5.001034479
128	4.998553344
129	4.998418312
130	4.993047218
131	4.98846406
132	4.987900688
133	4.97804253
134	4.974583729
135	4.964416271
136	4.953338745
137	4.950258987
138	4.945272956
139	4.945149817
140	4.94306997
141	4.935029573
142	4.927305568
143	4.925600771
144	4.925175439
145	4.918868742
146	4.913852395
147	4.911091496
148	4.903634147
149	4.900484877
150	4.890960292
151	4.889738217
152	4.88593811
153	4.880782752
154	4.878133093
155	4.872705167
156	4.871354429
157	4.871195874
158	4.863869328
159	4.859523866
160	4.859342697
161	4.852998455
162	4.84275152
163	4.836870283
164	4.834652027
165	4.829702572
166	4.829339952
167	4.823822784
168	4.817414809
169	4.815370528
170	4.806047676
171	4.803487896
172	4.797120728
173	4.790443057
174	4.784085015
175	4.779472723
176	4.774961686
177	4.77168945
178	4.764723271
179	4.757598918
180	4.755863985
181	4.748873662
182	4.745384318
183	4.739908651
184	4.734607851
185	4.730331771
186	4.725563065
187	4.721733469
188	4.718628967
189	4.717104678
190	4.709391564
191	4.706848835
192	4.704872201
193	4.699503473
194	4.696878429
195	4.692686282
196	4.686709621
197	4.68493983
198	4.68194588
199	4.677127368
