iter	Passed	Remaining
0	55	11042
1	55	5508
2	55	3662
3	55	2738
4	56	2184
5	56	1814
6	56	1550
7	56	1352
8	56	1198
9	56	1074
10	56	973
11	56	889
12	56	818
13	57	758
14	57	705
15	57	658
16	57	617
17	57	581
18	57	548
19	57	519
20	57	493
21	57	469
22	58	447
23	58	426
24	58	408
25	58	391
26	58	375
27	58	360
28	58	346
29	58	333
30	59	321
31	59	310
32	59	299
33	59	289
34	59	280
35	59	271
36	59	262
37	59	254
38	59	247
39	59	239
40	60	233
41	60	226
42	60	220
43	60	214
44	60	208
45	60	202
46	60	197
47	60	192
48	60	187
49	60	182
50	61	178
51	61	174
52	61	170
53	61	166
54	61	162
55	61	158
56	61	154
57	61	151
58	61	148
59	62	144
60	62	141
61	62	138
62	62	135
63	62	132
64	62	129
65	62	127
66	62	124
67	62	122
68	63	119
69	63	117
70	63	114
71	63	112
72	63	110
73	63	108
74	63	106
75	63	104
76	63	101
77	63	100
78	64	98
79	64	96
80	64	94
81	64	92
82	64	90
83	64	89
84	64	87
85	64	85
86	64	84
87	65	82
88	65	81
89	65	79
90	65	78
91	65	76
92	65	75
93	65	74
94	65	72
95	65	71
96	65	70
97	66	68
98	66	67
99	66	66
100	66	65
101	66	63
102	66	62
103	66	61
104	66	60
105	66	59
106	67	58
107	67	57
108	67	56
109	67	55
110	67	54
111	67	53
112	67	52
113	67	51
114	67	50
115	68	49
116	68	48
117	68	47
118	68	46
119	68	45
120	68	44
121	68	43
122	68	43
123	68	42
124	69	41
125	69	40
126	69	39
127	69	38
128	69	38
129	69	37
130	69	36
131	69	35
132	69	35
133	69	34
134	70	33
135	70	33
136	70	32
137	70	31
138	70	30
139	70	30
140	70	29
141	70	28
142	70	28
143	71	27
144	71	26
145	71	26
146	71	25
147	71	25
148	71	24
149	71	23
150	71	23
151	71	22
152	71	22
153	72	21
154	72	20
155	72	20
156	72	19
157	72	19
158	72	18
159	72	18
160	72	17
161	72	17
162	72	16
163	73	16
164	73	15
165	73	15
166	73	14
167	73	13
168	73	13
169	73	13
170	73	12
171	73	12
172	74	11
173	74	11
174	74	10
175	74	10
176	74	9
177	74	9
178	74	8
179	74	8
180	74	7
181	74	7
182	75	6
183	75	6
184	75	6
185	75	5
186	75	5
187	75	4
188	75	4
189	75	3
190	76	3
191	76	3
192	76	2
193	76	2
194	76	1
195	76	1
196	76	1
197	76	0
198	76	0
199	76	0
