iter	RMSE
0	14.54364198
1	14.10607332
2	13.66140215
3	13.22855436
4	12.859931
5	12.52262927
6	12.14164298
7	11.82932732
8	11.50081328
9	11.18339783
10	10.88796803
11	10.6037106
12	10.35674615
13	10.08759797
14	9.891766781
15	9.655129836
16	9.462672731
17	9.300397149
18	9.116624721
19	8.953149321
20	8.764491702
21	8.601638767
22	8.431211748
23	8.302805495
24	8.150193761
25	7.9955529
26	7.88246632
27	7.759268187
28	7.651201344
29	7.529577173
30	7.425584847
31	7.343095965
32	7.244688346
33	7.151634692
34	7.069757595
35	6.997614541
36	6.923135442
37	6.83428532
38	6.757729025
39	6.681510639
40	6.621100368
41	6.558614217
42	6.511571419
43	6.459832178
44	6.404908375
45	6.357646084
46	6.305009911
47	6.270375478
48	6.225317571
49	6.190401777
50	6.15593958
51	6.114022414
52	6.076021931
53	6.043246208
54	6.007358238
55	5.976504269
56	5.95097907
57	5.922881319
58	5.893400862
59	5.871132968
60	5.842890989
61	5.819704101
62	5.799360992
63	5.776095284
64	5.76025367
65	5.743150773
66	5.728009374
67	5.710885509
68	5.688909319
69	5.67227901
70	5.656597651
71	5.642017627
72	5.627435169
73	5.61542315
74	5.605357195
75	5.594962475
76	5.579288997
77	5.566753778
78	5.555930383
79	5.541798427
80	5.533462602
81	5.523850634
82	5.515215419
83	5.506084146
84	5.501011468
85	5.493546466
86	5.47788164
87	5.466018683
88	5.455515543
89	5.444268355
90	5.435895902
91	5.430194893
92	5.419749822
93	5.413029771
94	5.4089525
95	5.400722349
96	5.393226112
97	5.382850183
98	5.379795775
99	5.373470204
100	5.363673636
101	5.361136465
102	5.353799405
103	5.347479699
104	5.341948703
105	5.336499828
106	5.330362561
107	5.325369263
108	5.322321594
109	5.316527666
110	5.310015434
111	5.302700566
112	5.298977972
113	5.294775601
114	5.288680652
115	5.281587189
116	5.277470215
117	5.272057832
118	5.268795292
119	5.26380042
120	5.25974256
121	5.25718826
122	5.254447425
123	5.251375773
124	5.250184901
125	5.246228481
126	5.243092786
127	5.240325813
128	5.233706952
129	5.230635614
130	5.227524034
131	5.220031325
132	5.217376849
133	5.214899928
134	5.213292287
135	5.209240502
136	5.204290428
137	5.202468609
138	5.195454239
139	5.192839082
140	5.191338585
141	5.186263675
142	5.179518235
143	5.176541754
144	5.173446937
145	5.171672567
146	5.169896186
147	5.167389915
148	5.162236719
149	5.159968498
150	5.157635538
151	5.155395464
152	5.153437983
153	5.149358872
154	5.144711311
155	5.13937354
156	5.135443903
157	5.132801748
158	5.125867827
159	5.125243607
160	5.122676953
161	5.116046518
162	5.110804918
163	5.106471659
164	5.104696832
165	5.100998161
166	5.098291887
167	5.095041604
168	5.08992887
169	5.086626602
170	5.083833836
171	5.081163847
172	5.079421028
173	5.07780955
174	5.076885335
175	5.076302788
176	5.073008308
177	5.070438371
178	5.0686849
179	5.066526663
180	5.064882612
181	5.063827616
182	5.061407128
183	5.06019415
184	5.057409481
185	5.054210306
186	5.052022871
187	5.050652373
188	5.049796793
189	5.04752798
190	5.046421767
191	5.04522868
192	5.04364447
193	5.042322313
194	5.038663281
195	5.035999285
196	5.032125943
197	5.028738289
198	5.024682055
199	5.021106693
