iter	Passed	Remaining
0	55	11132
1	56	5551
2	56	3692
3	56	2761
4	56	2202
5	56	1831
6	56	1565
7	56	1365
8	57	1210
9	57	1086
10	57	985
11	57	901
12	57	829
13	57	767
14	57	714
15	58	667
16	58	626
17	58	589
18	58	556
19	58	526
20	58	500
21	58	475
22	58	453
23	59	433
24	59	414
25	59	396
26	59	380
27	59	365
28	59	351
29	59	338
30	59	326
31	60	315
32	60	304
33	60	294
34	60	284
35	60	275
36	60	267
37	60	259
38	60	251
39	61	244
40	61	237
41	61	230
42	61	224
43	61	217
44	61	212
45	61	206
46	61	201
47	61	196
48	62	191
49	62	186
50	62	182
51	62	177
52	62	173
53	62	169
54	62	165
55	62	161
56	63	158
57	63	154
58	63	151
59	63	147
60	63	144
61	63	141
62	63	138
63	63	135
64	63	132
65	64	130
66	64	127
67	64	124
68	64	122
69	64	119
70	64	117
71	64	115
72	64	112
73	65	110
74	65	108
75	65	106
76	65	104
77	65	102
78	65	100
79	65	98
80	65	96
81	65	94
82	66	93
83	66	91
84	66	89
85	66	88
86	66	86
87	66	84
88	66	83
89	66	81
90	66	80
91	67	78
92	67	77
93	67	75
94	67	74
95	67	73
96	67	71
97	67	70
98	67	69
99	67	67
100	68	66
101	68	65
102	68	64
103	68	63
104	68	62
105	68	60
106	68	59
107	68	58
108	69	57
109	69	56
110	69	55
111	69	54
112	69	53
113	69	52
114	69	51
115	69	50
116	70	49
117	70	48
118	70	47
119	70	46
120	70	46
121	70	45
122	70	44
123	70	43
124	70	42
125	70	41
126	71	40
127	71	40
128	71	39
129	71	38
130	71	37
131	71	36
132	71	36
133	71	35
134	71	34
135	72	33
136	72	33
137	72	32
138	72	31
139	72	31
140	72	30
141	72	29
142	72	29
143	72	28
144	73	27
145	73	27
146	73	26
147	73	25
148	73	25
149	73	24
150	73	23
151	73	23
152	73	22
153	74	22
154	74	21
155	74	20
156	74	20
157	74	19
158	74	19
159	74	18
160	74	18
161	74	17
162	75	17
163	75	16
164	75	15
165	75	15
166	75	14
167	75	14
168	75	13
169	75	13
170	75	12
171	76	12
172	76	11
173	76	11
174	76	10
175	76	10
176	76	9
177	76	9
178	76	9
179	76	8
180	76	8
181	77	7
182	77	7
183	77	6
184	77	6
185	77	5
186	77	5
187	77	4
188	77	4
189	77	4
190	78	3
191	78	3
192	78	2
193	78	2
194	78	2
195	78	1
196	78	1
197	78	0
198	79	0
199	79	0
